iter	Passed	Remaining
824	39730	8427
825	39784	8380
826	39839	8333
827	39905	8289
828	39971	8244
829	40049	8202
830	40092	8153
831	40132	8103
832	40173	8054
833	40216	8004
834	40254	7954
835	40295	7904
836	40333	7854
837	40373	7804
838	40414	7755
839	40453	7705
840	40493	7655
841	40540	7607
842	40582	7558
843	40620	7508
844	40661	7458
845	40704	7409
846	40742	7359
847	40776	7309
848	40810	7258
849	40848	7208
850	40884	7158
851	40919	7108
852	40967	7060
853	41007	7010
854	41049	6961
855	41102	6914
856	41137	6864
857	41180	6815
858	41256	6771
859	41333	6728
860	41399	6683
861	41478	6640
862	41543	6594
863	41608	6549
864	41667	6502
865	41736	6458
866	41797	6411
867	41853	6364
868	41896	6315
869	41952	6268
870	42001	6220
871	42050	6172
872	42100	6124
873	42152	6076
874	42197	6028
875	42258	5981
876	42321	5935
877	42389	5890
878	42443	5842
879	42495	5794
880	42551	5747
881	42607	5700
882	42653	5651
883	42709	5604
884	42775	5558
885	42831	5511
886	42872	5461
887	42919	5413
888	42965	5364
889	43014	5316
890	43071	5269
891	43125	5221
892	43188	5174
893	43241	5127
894	43300	5080
895	43521	5051
896	43765	5025
897	43837	4979
898	43895	4931
899	43949	4883
900	44004	4835
901	44058	4786
902	44119	4739
903	44166	4690
904	44208	4640
905	44263	4592
906	44325	4544
907	44395	4498
908	44453	4450
909	44517	4402
910	44560	4353
911	44607	4304
912	44669	4256
913	44716	4207
914	44762	4158
915	44811	4109
916	44861	4060
917	44901	4010
918	44956	3962
919	44997	3912
920	45039	3863
921	45090	3814
922	45136	3765
923	45176	3715
924	45224	3666
925	45278	3618
926	45329	3569
927	45377	3520
928	45416	3471
929	45461	3421
930	45505	3372
931	45547	3323
932	45586	3273
933	45631	3224
934	45686	3176
935	45737	3127
936	45791	3078
937	45835	3029
938	45878	2980
939	45934	2931
940	45978	2882
941	46024	2833
942	46077	2785
943	46128	2736
944	46179	2687
945	46247	2639
946	46313	2592
947	46368	2543
948	46418	2494
949	46488	2446
950	46534	2397
951	46596	2349
952	46645	2300
953	46725	2253
954	46846	2207
955	46931	2160
956	46975	2110
957	47024	2061
958	47077	2012
959	47129	1963
960	47177	1914
961	47230	1865
962	47288	1816
963	47351	1768
964	47415	1719
965	47495	1671
966	47555	1622
967	47622	1574
968	47745	1527
969	47808	1478
970	47850	1429
971	47896	1379
972	47992	1331
973	48096	1283
974	48163	1234
975	48230	1185
976	48354	1138
977	48444	1089
978	48506	1040
979	48576	991
980	48625	941
981	48692	892
982	48835	844
983	48984	796
984	49094	747
985	49160	698
986	49318	649
987	49408	600
988	49478	550
989	49546	500
990	49594	450
991	49642	400
992	49688	350
993	49736	300
994	49823	250
995	49921	200
996	49975	150
997	50025	100
998	50071	50
999	50117	0
